year,income
0,0.47347705010978025
1,0.4834870178869744
2,0.5246614212864901
3,0.5039687224321285
4,0.5235830966677146
5,0.5285709044669691
6,0.5414962929953376
7,0.5474602292427644
8,0.5295684497922214
9,0.5506500984915921
10,0.5310708090295689
11,0.5342420152763215
12,0.5186503053097941
13,0.5172755364315529
14,0.5175445099728265
15,0.5032024462482301
16,0.5279461709377402
17,0.5158925379468368
18,0.5009781676741859
19,0.5090218033863184
20,0.5054633005742148
21,0.48764639948682403
22,0.4753420423407246
23,0.5036598965182926
24,0.473561003978389
25,0.48818930789626364
26,0.48837884024136013
27,0.48144401190095965
28,0.49065964982182964
29,0.48700661093144915
30,0.508184117132946
31,0.4916795402445185
32,0.49599721332029373
33,0.4790931133124974
34,0.49392627243212806
35,0.4983816926262
36,0.48677007654300775
37,0.5279098960364245
38,0.5094281291914838
39,0.4972886633949205
40,0.5189316515255636
41,0.5394176397804891
42,0.5159244263291337
43,0.4996556828563983
44,0.5269758456474486
45,0.4968177611362686
46,0.5126529827098352
47,0.5220350743022342
48,0.5189040427339909
49,0.5232748153062625
50,0.533177321234388
51,0.5443753738070161
52,0.5297568570890562
53,0.5197057668305066
54,0.5095249433548273
55,0.5177870097041749
56,0.49778600797477385
57,0.474870938968895
58,0.5112473779210919
59,0.49725445990336004
60,0.47220963864574605
61,0.5303340051404867
62,0.48703255407334195
63,0.478075685636848
64,0.48185282840795596
65,0.5051095805665269
66,0.4584243805668152
67,0.47620631079218445
68,0.47985002483776756
69,0.46787177734529856
70,0.4891067889613831
71,0.49137499359857534
72,0.4983833742424681
73,0.48527852979790603
74,0.47899873560646417
75,0.47111204503360865
76,0.48688934539812667
77,0.49624392759807495
78,0.48001061712683396
79,0.5270769291490935
80,0.4980236899045838
81,0.4863070484572194
82,0.5074315253154424
83,0.5037290516422344
84,0.48472718711669666
85,0.4912638107180507
86,0.5169631989391134
87,0.4805903085019689
88,0.4939860708907084
89,0.49832453272105665
90,0.4927054917885764
91,0.5098646020914055
92,0.5019291327814277
93,0.5085379227851059
94,0.4990152820349978
95,0.5178723672758131
96,0.5033341197176943
97,0.5180998737237581
98,0.5117446547082435
99,0.4992930460393852
100,0.5428125029475204
101,0.5217847739334833
102,0.5047247636495438
103,0.5055536128671476
104,0.49748339571360617
105,0.47116054476302477
106,0.45927352281204287
107,0.4590722935561075
108,0.45874325619272777
109,0.4576544990973143
110,0.4578442362519325
